B1,B2,B3,B4,B5,B6,B7,NDVI ,EVI,NDBI,MNDWI,RGVI
159,294,655,597,1490,1785,889,0.427886919,0.778417015,0.090076336,-0.463114754,0.726478495
275,331,680,440,3612,1797,777,0.782823297,2.103169341,-0.335551858,-0.450948728,0.802236488
122,178,411,317,2273,1319,632,0.755212355,1.721224921,-0.2655902,-0.524855491,0.834574798
116,213,542,467,2125,1563,766,0.639660494,1.244557874,-0.152386117,-0.485035629,0.80405003
233,323,598,554,2020,1422,633,0.56954157,1.254063302,-0.1737362,-0.407920792,0.740879326
128,180,393,230,2775,1152,500,0.846921797,2.26746258,-0.41329259,-0.491262136,0.851355207
150,191,476,284,3138,1338,591,0.834015196,2.092068612,-0.402144772,-0.475192944,0.844006977
157,227,446,279,3504,1275,559,0.852498017,2.319142816,-0.466415568,-0.481696688,0.861123906
161,311,676,716,2531,1709,879,0.558977518,1.009342676,-0.193867925,-0.43312369,0.797140087
104,151,524,226,3319,1167,547,0.872496474,2.182164527,-0.479714668,-0.380248374,0.846529814
101,197,507,265,3711,1237,551,0.866700201,2.252582037,-0.5,-0.418577982,0.865694721
284,423,850,691,3749,1722,808,0.688738739,1.618503229,-0.370498995,-0.33903577,0.783917683
117,199,496,350,2960,1401,628,0.788519637,1.828499369,-0.357486815,-0.477069056,0.844337227
71,119,368,224,1909,854,408,0.789967182,1.783823841,-0.381831343,-0.397708674,0.827233373
230,292,533,455,2473,1507,690,0.68920765,1.673855342,-0.242713568,-0.47745098,0.789110006
38,183,556,451,2920,1550,753,0.732423613,1.450816782,-0.306487696,-0.471984805,0.855965082
188,254,440,369,2111,1102,534,0.702419355,1.798843453,-0.314036726,-0.429312581,0.791639018
4571,4451,4682,4498,5898,3979,2723,0.13466718,-7.063572149,-0.194289764,0.081168456,0.294687095
246,422,795,844,2262,2151,1218,0.456535737,0.851753964,-0.025152957,-0.460285132,0.759250694
38,176,469,432,1738,1056,507,0.601843318,1.084357356,-0.244094488,-0.384918033,0.810608891
228,303,713,422,4389,1906,781,0.824568697,2.133025056,-0.394440032,-0.455517373,0.831723891
260,363,643,699,2277,2201,1269,0.530241935,1.052140285,-0.016971862,-0.547819972,0.787279152
159,234,564,436,3364,2009,935,0.770526316,1.732134406,-0.25218686,-0.561601244,0.847307286
199,294,576,468,2931,1785,851,0.72462489,1.741867044,-0.243002545,-0.512071156,0.817647059
310,363,731,525,3598,2409,1093,0.74533107,1.907984602,-0.197935742,-0.534394904,0.800421779
155,300,670,574,2930,1837,913,0.672374429,1.427878788,-0.229284665,-0.465496609,0.813221644
301,604,1149,1460,2888,3630,2321,0.328426863,0.501474926,0.113838601,-0.519146265,0.782576098
560,677,986,1173,2596,2396,1387,0.377553728,0.780581459,-0.040064103,-0.416913069,0.700155159
114,218,649,453,3173,1584,699,0.750137893,1.597369039,-0.334034055,-0.418719212,0.823583815
267,314,528,496,2108,1463,735,0.619047619,1.476190476,-0.180621675,-0.46961326,0.761904762
289,352,697,489,3327,2210,999,0.743710692,1.958862507,-0.201733791,-0.520467836,0.795223261
222,391,797,822,2569,2533,1432,0.51518726,0.955793851,-0.007056056,-0.521321321,0.788720713
300,374,663,587,2476,1857,914,0.616715638,1.478553538,-0.142857143,-0.473809524,0.757857682
403,474,653,722,1340,922,493,0.29970902,0.729461756,-0.184792219,-0.170793651,0.586692759
