B1,B2,B3,B4,B5,B6,B7,NDVI ,EVI,NDBI,MNDWI,RGVI
260,367,584,416,3524,1545,769,0.788832487,2.377237265,-0.39041231,-0.451385627,0.820768741
212,269,553,357,2720,1800,829,0.767955801,2.076085047,-0.203539823,-0.529961751,0.804147465
105,158,425,286,2419,1144,530,0.788539741,1.807014571,-0.357844513,-0.458253665,0.836166924
95,181,458,280,3441,1363,603,0.849502822,2.099216363,-0.432556203,-0.496979681,0.872109158
106,172,433,260,2716,1127,520,0.825268817,2.055574155,-0.413479053,-0.444871795,0.845823799
126,223,524,328,3167,1460,652,0.81230329,2.04922766,-0.368921547,-0.471774194,0.843260188
64,150,424,239,3245,1281,566,0.862801378,2.113924051,-0.433937251,-0.502639296,0.879506173
126,197,464,304,3225,1438,665,0.827713233,2.044086774,-0.38322968,-0.512092534,0.859322842
224,309,673,552,3161,1465,656,0.702666308,1.569228919,-0.366623433,-0.370439663,0.79468986
139,191,382,277,2461,1135,536,0.797662527,2.028608583,-0.368743048,-0.496374423,0.84086744
80,243,697,577,2959,1595,820,0.673642534,1.294705946,-0.299516908,-0.391797557,0.821625344
183,302,661,566,2958,1650,804,0.67877412,1.462102689,-0.283854167,-0.427953267,0.804990758
205,320,671,522,3099,1674,795,0.711681856,1.681236952,-0.298554368,-0.42771855,0.801630435
251,359,736,648,3338,1836,892,0.674862017,1.483074209,-0.290297642,-0.427682737,0.797662977
131,205,470,370,2518,1256,574,0.743767313,1.677338747,-0.334393217,-0.455388181,0.826400924
-103,84,519,377,3033,1093,501,0.77888563,1.423060437,-0.470189045,-0.356079404,0.893633342
25,208,660,638,3037,1714,819,0.652789116,1.130324161,-0.278467691,-0.443976411,0.847574544
94,241,640,505,3610,1504,687,0.754556501,1.605979104,-0.411810716,-0.402985075,0.847147022
342,546,1039,1225,3268,2803,1646,0.454707323,0.782878602,-0.076593642,-0.459135867,0.775044796
127,260,634,567,2963,1533,741,0.678753541,1.356431159,-0.318060498,-0.414859252,0.821821587
183,221,519,292,3342,1475,657,0.839295542,2.218181818,-0.387585634,-0.479438315,0.836401771
198,235,435,301,2256,1316,551,0.764567853,2.124538144,-0.263157895,-0.503141062,0.796332046
